
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-21 10:22:18 /v1/models ....................................... ~ 1s
  2026-04-21 10:22:25 /v1/models ....................................... ~ 1s
  2026-04-21 10:22:32 /v1/models ....................................... ~ 2s
  2026-04-21 10:22:39 /v1/models ....................................... ~ 1s
  2026-04-21 10:22:45 /v1/models ................................. ~ 500.49ms
  2026-04-21 10:22:51 /v1/models ....................................... ~ 1s
  2026-04-21 10:22:57 /v1/models ................................. ~ 613.59ms
  2026-04-21 10:23:03 /v1/models ................................. ~ 614.42ms
  2026-04-21 10:23:09 /v1/models ................................. ~ 601.74ms
  2026-04-21 10:23:15 /v1/models ................................. ~ 646.20ms
  2026-04-21 10:23:21 /v1/models ................................. ~ 574.30ms
  2026-04-21 10:23:27 /v1/models ....................................... ~ 1s
  2026-04-21 10:23:33 /v1/models ................................. ~ 576.39ms
  2026-04-21 10:23:39 /v1/models ................................. ~ 500.88ms
  2026-04-21 10:23:45 /v1/models ................................. ~ 574.62ms
  2026-04-21 10:23:50 /v1/models ................................. ~ 574.23ms
  2026-04-21 10:23:56 /v1/models ................................. ~ 575.58ms
  2026-04-21 10:24:02 /v1/models ................................. ~ 522.07ms
  2026-04-21 10:24:08 /v1/models ................................. ~ 500.63ms
  2026-04-21 10:24:14 /v1/models ................................. ~ 574.97ms
  2026-04-21 10:24:21 /v1/models ....................................... ~ 3s
  2026-04-21 10:24:28 /v1/models ....................................... ~ 1s
  2026-04-21 10:24:35 /v1/models ....................................... ~ 3s
  2026-04-21 10:24:44 /v1/models ....................................... ~ 1s
  2026-04-21 10:24:51 /v1/models ................................. ~ 500.86ms
  2026-04-21 10:24:57 /v1/models ....................................... ~ 1s
  2026-04-21 10:25:03 /v1/models ....................................... ~ 1s
  2026-04-21 10:25:10 /v1/models ....................................... ~ 1s
  2026-04-21 10:25:16 /v1/models ....................................... ~ 1s
  2026-04-21 10:25:22 /v1/models ....................................... ~ 1s
  2026-04-21 10:25:28 /v1/models ....................................... ~ 1s
  2026-04-21 10:25:35 /v1/models ................................. ~ 629.80ms
  2026-04-21 10:25:41 /v1/models ................................. ~ 500.62ms
  2026-04-21 10:25:46 /v1/models ................................. ~ 577.96ms
  2026-04-21 10:25:52 /v1/models ................................. ~ 572.36ms
  2026-04-21 10:25:57 /v1/models ................................. ~ 500.76ms
  2026-04-21 10:26:03 /v1/models ................................. ~ 500.50ms
  2026-04-21 10:26:08 /v1/models ................................. ~ 500.53ms
  2026-04-21 10:26:14 /v1/models ................................. ~ 502.48ms
  2026-04-21 10:26:20 /v1/models ................................. ~ 565.59ms
  2026-04-21 10:26:25 /v1/models ................................... ~ 0.25ms
  2026-04-21 10:26:31 /v1/models ................................. ~ 500.53ms
  2026-04-21 10:26:37 /v1/models ................................. ~ 574.66ms
  2026-04-21 10:26:43 /v1/models ................................. ~ 501.10ms
  2026-04-21 10:26:49 /v1/models ................................. ~ 573.46ms
  2026-04-21 10:26:55 /v1/models ....................................... ~ 1s
  2026-04-21 10:27:01 /v1/models ................................. ~ 500.59ms
  2026-04-21 10:27:07 /v1/models ................................. ~ 568.59ms
  2026-04-21 10:27:13 /v1/models ................................. ~ 575.49ms
  2026-04-21 10:27:19 /v1/models ................................. ~ 575.63ms
  2026-04-21 10:27:25 /v1/models ................................. ~ 573.47ms
  2026-04-21 10:27:31 /v1/models ................................. ~ 574.71ms
  2026-04-21 10:27:37 /v1/models ....................................... ~ 1s
  2026-04-21 10:27:43 /v1/models ....................................... ~ 3s
  2026-04-21 10:27:52 /v1/models ....................................... ~ 2s
  2026-04-21 10:27:59 /v1/models ....................................... ~ 2s
  2026-04-21 10:28:07 /v1/models ....................................... ~ 1s
  2026-04-21 10:28:13 /v1/models ................................. ~ 573.31ms
  2026-04-21 10:28:19 /v1/models ....................................... ~ 2s
  2026-04-21 10:28:26 /v1/models ....................................... ~ 2s
  2026-04-21 10:28:34 /v1/models ....................................... ~ 1s
  2026-04-21 10:28:40 /v1/models ....................................... ~ 2s
  2026-04-21 10:28:48 /v1/models ....................................... ~ 1s
  2026-04-21 10:28:55 /v1/models ....................................... ~ 1s
  2026-04-21 10:29:01 /v1/models ....................................... ~ 2s
  2026-04-21 10:29:09 /v1/models ....................................... ~ 2s
  2026-04-21 10:29:17 /v1/models ................................. ~ 585.63ms
  2026-04-21 10:29:22 /v1/models ....................................... ~ 2s
  2026-04-21 10:29:29 /v1/models ....................................... ~ 1s
  2026-04-21 10:29:36 /v1/models ................................. ~ 572.40ms
  2026-04-21 10:29:42 /v1/models ....................................... ~ 5s
  2026-04-21 10:29:53 /v1/models ....................................... ~ 3s
  2026-04-21 10:30:02 /v1/models ....................................... ~ 2s
  2026-04-21 10:30:10 /v1/models ....................................... ~ 2s
  2026-04-21 10:30:18 /v1/models ....................................... ~ 2s
  2026-04-21 10:30:26 /v1/models ....................................... ~ 1s
  2026-04-21 10:30:34 /v1/models ................................. ~ 576.10ms
  2026-04-21 10:30:40 /v1/models ....................................... ~ 1s
  2026-04-21 10:30:47 /v1/models ....................................... ~ 1s
  2026-04-21 10:30:54 /v1/models ................................. ~ 574.83ms
  2026-04-21 10:31:00 /v1/models ................................. ~ 536.80ms
  2026-04-21 10:31:06 /v1/models ....................................... ~ 2s
  2026-04-21 10:31:14 /v1/models ....................................... ~ 2s
  2026-04-21 10:31:22 /v1/models ................................. ~ 500.97ms
  2026-04-21 10:31:28 /v1/models ....................................... ~ 2s
  2026-04-21 10:31:36 /v1/models ....................................... ~ 1s
  2026-04-21 10:31:43 /v1/models ................................. ~ 511.71ms
  2026-04-21 10:31:49 /v1/models ....................................... ~ 1s
  2026-04-21 10:31:56 /v1/models ....................................... ~ 2s
  2026-04-21 10:32:03 /v1/models ....................................... ~ 2s
  2026-04-21 10:32:11 /v1/models ................................. ~ 572.58ms
  2026-04-21 10:32:17 /v1/models ....................................... ~ 1s
  2026-04-21 10:32:24 /v1/models ....................................... ~ 1s
  2026-04-21 10:32:31 /v1/models ....................................... ~ 1s
  2026-04-21 10:32:37 /v1/models ....................................... ~ 1s
  2026-04-21 10:32:44 /v1/models ....................................... ~ 2s
  2026-04-21 10:32:51 /v1/models ....................................... ~ 2s
  2026-04-21 10:32:59 /v1/models ................................. ~ 568.70ms
  2026-04-21 10:33:05 /v1/models ....................................... ~ 2s
  2026-04-21 10:33:12 /v1/models ....................................... ~ 2s
  2026-04-21 10:33:19 /v1/models ................................. ~ 570.61ms
  2026-04-21 10:33:25 /v1/models ................................. ~ 574.25ms
  2026-04-21 10:33:30 /v1/models ................................... ~ 0.45ms
  2026-04-21 10:33:36 /v1/models ................................. ~ 501.16ms
  2026-04-21 10:33:42 /v1/models ................................. ~ 575.64ms
  2026-04-21 10:33:47 /v1/models ................................. ~ 500.59ms
  2026-04-21 10:33:53 /v1/models ................................. ~ 564.33ms
  2026-04-21 10:33:59 /v1/models ....................................... ~ 1s
  2026-04-21 10:34:04 /v1/models ....................................... ~ 1s
  2026-04-21 10:34:10 /v1/models ................................. ~ 500.92ms
  2026-04-21 10:34:16 /v1/models ................................. ~ 574.98ms
  2026-04-21 10:34:22 /v1/models ....................................... ~ 1s
  2026-04-21 10:34:29 /v1/models ................................. ~ 573.82ms
  2026-04-21 10:34:35 /v1/models ....................................... ~ 1s
  2026-04-21 10:34:41 /v1/models ....................................... ~ 3s
  2026-04-21 10:34:49 /v1/models ....................................... ~ 1s
  2026-04-21 10:34:55 /v1/models ....................................... ~ 1s
  2026-04-21 10:35:02 /v1/models ....................................... ~ 1s
  2026-04-21 10:35:08 /v1/models ................................. ~ 501.40ms
  2026-04-21 10:35:15 /v1/models ....................................... ~ 1s
  2026-04-21 10:35:21 /v1/models ................................. ~ 500.95ms
  2026-04-21 10:35:27 /v1/models ................................. ~ 500.63ms
  2026-04-21 10:35:33 /v1/models ................................... ~ 0.36ms
  2026-04-21 10:35:38 /v1/models ....................................... ~ 1s
  2026-04-21 10:35:44 /v1/models ................................. ~ 501.20ms
  2026-04-21 10:35:49 /v1/models ....................................... ~ 1s
  2026-04-21 10:35:55 /v1/models ....................................... ~ 1s
  2026-04-21 10:36:01 /v1/models ....................................... ~ 1s
  2026-04-21 10:36:07 /v1/models ....................................... ~ 1s
  2026-04-21 10:36:13 /v1/models ....................................... ~ 1s
  2026-04-21 10:36:19 /v1/models ................................. ~ 627.80ms
  2026-04-21 10:36:25 /v1/models ....................................... ~ 1s
  2026-04-21 10:36:32 /v1/models ....................................... ~ 1s
  2026-04-21 10:36:38 /v1/models ....................................... ~ 1s
  2026-04-21 10:36:45 /v1/models ....................................... ~ 1s
  2026-04-21 10:36:51 /v1/models ....................................... ~ 1s
  2026-04-21 10:36:57 /v1/models ....................................... ~ 1s
  2026-04-21 10:37:03 /v1/models ....................................... ~ 1s
  2026-04-21 10:37:09 /v1/models ....................................... ~ 2s
  2026-04-21 10:37:17 /v1/models ................................. ~ 575.83ms
  2026-04-21 10:37:23 /v1/models ....................................... ~ 1s
  2026-04-21 10:37:29 /v1/models ....................................... ~ 1s
  2026-04-21 10:37:35 /v1/models ....................................... ~ 2s
  2026-04-21 10:37:43 /v1/models ....................................... ~ 2s
  2026-04-21 10:37:51 /v1/models ................................. ~ 573.10ms
  2026-04-21 10:37:57 /v1/models ................................. ~ 501.66ms
  2026-04-21 10:38:03 /v1/models ....................................... ~ 1s
  2026-04-21 10:38:10 /v1/models ....................................... ~ 1s
  2026-04-21 10:38:17 /v1/models ....................................... ~ 3s
  2026-04-21 10:38:27 /v1/models ....................................... ~ 3s
  2026-04-21 10:38:36 /v1/models ................................. ~ 575.14ms
  2026-04-21 10:38:42 /v1/models ................................. ~ 575.24ms
  2026-04-21 10:38:48 /v1/models ................................. ~ 500.52ms
  2026-04-21 10:38:53 /v1/models ....................................... ~ 1s
  2026-04-21 10:38:59 /v1/models ....................................... ~ 1s
  2026-04-21 10:39:05 /v1/models ................................. ~ 571.84ms
  2026-04-21 10:39:11 /v1/models ................................. ~ 581.58ms
  2026-04-21 10:39:17 /v1/models ................................. ~ 571.24ms
  2026-04-21 10:39:23 /v1/models ................................. ~ 575.02ms
  2026-04-21 10:39:30 /v1/models ................................. ~ 573.80ms
  2026-04-21 10:39:36 /v1/models ....................................... ~ 1s
  2026-04-21 10:39:42 /v1/models ................................. ~ 500.73ms
  2026-04-21 10:39:48 /v1/models ................................. ~ 570.96ms
  2026-04-21 10:39:54 /v1/models ................................. ~ 565.42ms
  2026-04-21 10:40:00 /v1/models ................................. ~ 503.71ms
  2026-04-21 10:40:06 /v1/models ................................. ~ 575.33ms
  2026-04-21 10:40:12 /v1/models ................................. ~ 575.93ms
  2026-04-21 10:40:18 /v1/models ................................. ~ 506.41ms
  2026-04-21 10:40:23 /v1/models ................................. ~ 574.38ms
  2026-04-21 10:40:29 /v1/models ................................. ~ 574.57ms
  2026-04-21 10:40:35 /v1/models ................................. ~ 500.74ms
  2026-04-21 10:40:41 /v1/models ................................. ~ 500.61ms
  2026-04-21 10:40:46 /v1/models ................................. ~ 574.94ms
  2026-04-21 10:40:52 /v1/models ................................. ~ 500.48ms
  2026-04-21 10:40:57 /v1/models ................................. ~ 512.12ms
  2026-04-21 10:41:03 /v1/models ................................. ~ 500.77ms
  2026-04-21 10:41:08 /v1/models ................................. ~ 500.51ms
  2026-04-21 10:41:14 /v1/models ................................. ~ 500.50ms
  2026-04-21 10:41:19 /v1/models ................................. ~ 500.49ms
  2026-04-21 10:41:25 /v1/models ................................. ~ 500.53ms
  2026-04-21 10:41:31 /v1/models ................................... ~ 0.28ms
  2026-04-21 10:41:37 /v1/models ....................................... ~ 1s
  2026-04-21 10:41:43 /v1/models ................................. ~ 500.58ms
  2026-04-21 10:41:49 /v1/models ................................. ~ 500.69ms
  2026-04-21 10:41:55 /v1/models ................................. ~ 500.57ms
  2026-04-21 10:42:01 /v1/models ................................. ~ 502.34ms
  2026-04-21 10:42:07 /v1/models ................................. ~ 508.99ms
  2026-04-21 10:42:13 /v1/models ................................. ~ 500.59ms
  2026-04-21 10:42:19 /v1/models ................................. ~ 573.56ms
  2026-04-21 10:42:25 /v1/models ....................................... ~ 1s
  2026-04-21 10:42:31 /v1/models ................................. ~ 502.45ms
  2026-04-21 10:42:38 /v1/models ....................................... ~ 1s
  2026-04-21 10:42:44 /v1/models ....................................... ~ 1s
  2026-04-21 10:42:51 /v1/models ....................................... ~ 1s
  2026-04-21 10:42:57 /v1/models ................................... ~ 0.34ms
  2026-04-21 10:43:03 /v1/models ................................. ~ 574.94ms
  2026-04-21 10:43:09 /v1/models ................................. ~ 500.69ms
  2026-04-21 10:43:16 /v1/models ....................................... ~ 1s
  2026-04-21 10:43:23 /v1/models ................................. ~ 729.13ms
